# currency: EUR
Name,Set,Finish,Code,NM,NM Source,SP/LP,SP/LP Source,MP,MP Source,HP,HP Source,Trend,Trend Source
Flowshard Elemental,Omens of the Third Age,normal,OMN149,0.02,low,,,,,,,0.12,trend
Flowstate Embodiment,Omens of the Third Age,normal,OMN146,5,low,,,,,,,7.84,trend
Fortitude of Anvilheim,Omens of the Third Age,normal,,14.99,low,,,,,,,10.77,trend
Fractal Creation,Omens of the Third Age,normal,OMN040,1.5,low,,,,,,,2.33,trend
Fraying Lifeforce,Omens of the Third Age,normal,OMN007,0.02,low,,,,,,,0.16,trend
Gate to i'Arathael,Omens of the Third Age,normal,,200,low,,,,,,,124.1,trend
Gauntlet of Sword and Sorcery,Omens of the Third Age,normal,,24.5,low,,,,,,,22.59,trend
Gear Turner,Omens of the Third Age,normal,OMN235,1.95,low,,,,,,,2.9,trend
Glide Through Starlight (Blue),Omens of the Third Age,normal,OMN171,0.02,low,,,,,,,0.1,trend
Glide Through Starlight (Red),Omens of the Third Age,normal,OMN169,0.02,low,,,,,,,0.1,trend
Glide Through Starlight (Yellow),Omens of the Third Age,normal,OMN170,0.02,low,,,,,,,0.09,trend
Gloves of Astral Sanctuary,Omens of the Third Age,normal,OMN211,0.02,low,,,,,,,1.02,trend
Golden Skull,Omens of the Third Age,normal,OMN240,0.3,low,,,,,,,0.2,trend
Haven Veil (Blue),Omens of the Third Age,normal,OMN139,0.02,low,,,,,,,0.06,trend
Haven Veil (Red),Omens of the Third Age,normal,OMN137,0.02,low,,,,,,,0.06,trend
Haven Veil (Yellow),Omens of the Third Age,normal,OMN138,0.02,low,,,,,,,0.06,trend
Heaven's Claws (Blue),Omens of the Third Age,normal,OMN174,0.02,low,,,,,,,0.02,trend
Heaven's Claws (Red),Omens of the Third Age,normal,OMN172,0.02,low,,,,,,,0.02,trend
Heaven's Claws (Yellow),Omens of the Third Age,normal,OMN173,0.02,low,,,,,,,0.02,trend
Helm of Astral Sanctuary,Omens of the Third Age,normal,OMN209,0.02,low,,,,,,,0.15,trend
Holo Shield (Blue),Omens of the Third Age,normal,OMN032,0.02,low,,,,,,,0.02,trend
Holo Shield (Red),Omens of the Third Age,normal,OMN030,0.02,low,,,,,,,0.09,trend
Holo Shield (Yellow),Omens of the Third Age,normal,OMN031,0.02,low,,,,,,,0.02,trend
Induce Panic,Omens of the Third Age,normal,OMN246,0.25,low,,,,,,,0.79,trend
Laced Lightning,Omens of the Third Age,normal,OMN144,0.02,low,,,,,,,0.05,trend
Leech Memory,Omens of the Third Age,normal,OMN091,0.02,low,,,,,,,0.08,trend
Leech Renown,Omens of the Third Age,normal,OMN092,0.03,low,,,,,,,0.19,trend
Leech Vitality,Omens of the Third Age,normal,OMN093,0.02,low,,,,,,,0.14,trend
Lightning Flow,Omens of the Third Age,normal,OMN203,0.03,low,,,,,,,0.18,trend
Lightning Form,Omens of the Third Age,normal,OMN150,0.03,low,,,,,,,0.13,trend
Lightning Overload (Blue),Omens of the Third Age,normal,OMN117,0.02,low,,,,,,,0.09,trend
Lightning Overload (Red),Omens of the Third Age,normal,OMN115,0.02,low,,,,,,,0.13,trend
Lightning Overload (Yellow),Omens of the Third Age,normal,OMN116,0.02,low,,,,,,,0.05,trend
Lionclaw Maul,Omens of the Third Age,normal,OMN247,0.08,low,,,,,,,1.58,trend
Livewire Press,Omens of the Third Age,normal,OMN159,0.02,low,,,,,,,0.03,trend
Mercurial Skies (Blue),Omens of the Third Age,normal,OMN061,0.02,low,,,,,,,0.02,trend
Mercurial Skies (Red),Omens of the Third Age,normal,OMN059,0.02,low,,,,,,,0.1,trend
Mercurial Skies (Yellow),Omens of the Third Age,normal,OMN060,0.02,low,,,,,,,0.03,trend
Meteoric Impact (Blue),Omens of the Third Age,normal,OMN120,0.02,low,,,,,,,0.12,trend
Meteoric Impact (Red),Omens of the Third Age,normal,OMN118,0.02,low,,,,,,,0.35,trend
Meteoric Impact (Yellow),Omens of the Third Age,normal,OMN119,0.02,low,,,,,,,0.1,trend
Meteoric Rise,Omens of the Third Age,normal,OMN153,0.02,low,,,,,,,0.21,trend
Nebula Duality (Blue),Omens of the Third Age,normal,OMN123,0.02,low,,,,,,,0.1,trend
Nebula Duality (Red),Omens of the Third Age,normal,OMN121,0.02,low,,,,,,,0.12,trend
Nebula Duality (Yelllow),Omens of the Third Age,normal,,0.02,low,,,,,,,0.15,trend
Nebulus Cycle,Omens of the Third Age,normal,OMN035,0.02,low,,,,,,,0.1,trend
Nourishing Glow,Omens of the Third Age,normal,OMN038,0.02,low,,,,,,,0.36,trend
Nucleus Aetherbolt,Omens of the Third Age,normal,OMN135,0.02,low,,,,,,,0.31,trend
Omens of Arcana,Omens of the Third Age,normal,OMN227,0.02,low,,,,,,,0.04,trend
Ominous Aggression,Omens of the Third Age,normal,OMN216,0.03,low,,,,,,,0.16,trend
Ominous Excavation,Omens of the Third Age,normal,OMN217,0.02,low,,,,,,,0.47,trend
Ominous Respite,Omens of the Third Age,normal,OMN218,0.03,low,,,,,,,0.18,trend
"Oscilio, Forked Continuum",Omens of the Third Age,normal,OMN094,0.04,low,,,,,,,0.43,trend
"Oscilio, Scion of the Third Age",Omens of the Third Age,normal,OMN095,0.02,low,,,,,,,0.24,trend
Path of Same Ends (Blue),Omens of the Third Age,normal,OMN067,0.02,low,,,,,,,0.2,trend
Path of Same Ends (Red),Omens of the Third Age,normal,OMN065,0.02,low,,,,,,,0.17,trend
Path of Same Ends (Yellow),Omens of the Third Age,normal,OMN066,0.02,low,,,,,,,0.14,trend
Pile Driver,Omens of the Third Age,normal,OMN230,0.5,low,,,,,,,0.97,trend
Plutonic Starplate,Omens of the Third Age,normal,,55,low,,,,,,,62.2,trend
Polarus Pulse Ray (Blue),Omens of the Third Age,normal,OMN011,0.02,low,,,,,,,0.09,trend
Polarus Pulse Ray (Red),Omens of the Third Age,normal,OMN009,0.02,low,,,,,,,0.07,trend
Polarus Pulse Ray (Yellow),Omens of the Third Age,normal,OMN010,0.02,low,,,,,,,0.02,trend
Ponder,Omens of the Third Age,normal,OMN225,0.02,low,,,,,,,0.14,trend
Prophetic Quickstep,Omens of the Third Age,normal,OMN055,0.03,low,,,,,,,0.28,trend
Pulsing Cardia (Blue),Omens of the Third Age,normal,OMN023,0.02,low,,,,,,,0.06,trend
Pulsing Cardia (Red),Omens of the Third Age,normal,OMN021,0.02,low,,,,,,,0.02,trend
Pulsing Cardia (Yellow),Omens of the Third Age,normal,OMN022,0.02,low,,,,,,,0.05,trend
Quick Succession (Blue),Omens of the Third Age,normal,OMN085,0.02,low,,,,,,,0.17,trend
Quick Succession (Red),Omens of the Third Age,normal,OMN083,0.02,low,,,,,,,0.22,trend
Quick Succession (Yellow),Omens of the Third Age,normal,OMN084,0.02,low,,,,,,,0.17,trend
Razor Ring,Omens of the Third Age,normal,OMN233,0.95,low,,,,,,,1.24,trend
Red Lure Harpoon,Omens of the Third Age,normal,OMN241,1,low,,,,,,,1.73,trend
Rift Breaker,Omens of the Third Age,normal,,0.02,low,,,,,,,0.21,trend
Rift Breaker (Blue),Omens of the Third Age,normal,OMN157,0.03,low,,,,,,,0.25,trend
Rift Breaker (Yellow),Omens of the Third Age,normal,OMN156,0.02,low,,,,,,,0.25,trend
Robe of Astral Sanctuary,Omens of the Third Age,normal,OMN210,0.02,low,,,,,,,0.02,trend
Runechant of Envy,Omens of the Third Age,normal,,74,low,,,,,,,60,trend
Runechant of Gluttony,Omens of the Third Age,normal,,75,low,,,,,,,93,trend
Runechant of Greed,Omens of the Third Age,normal,,90,low,,,,,,,,
Runechant of Lust,Omens of the Third Age,normal,,53,low,,,,,,,89,trend
Runechant of Pride,Omens of the Third Age,normal,,74.97,low,,,,,,,89,trend
Runechant of Sloth,Omens of the Third Age,normal,,84,low,,,,,,,,
Runechant of Wrath,Omens of the Third Age,normal,,49.98,low,,,,,,,69,trend
Rush of Power (Blue),Omens of the Third Age,normal,OMN070,0.02,low,,,,,,,0.12,trend
Rush of Power (Red),Omens of the Third Age,normal,OMN068,0.02,low,,,,,,,0.21,trend
Rush of Power (Yellow),Omens of the Third Age,normal,OMN069,0.02,low,,,,,,,0.14,trend
Scattering Conflux,Omens of the Third Age,normal,OMN008,0.03,low,,,,,,,0.19,trend
"Scorpio, Comet Tail",Omens of the Third Age,normal,OMN049,0.02,low,,,,,,,0.14,trend
Seeker's Gilet,Omens of the Third Age,normal,OMN206,0.02,low,,,,,,,0.02,trend
Seeker's Hood,Omens of the Third Age,normal,OMN205,0.02,low,,,,,,,0.02,trend
Seeker's Leggings,Omens of the Third Age,normal,OMN208,0.02,low,,,,,,,0.13,trend
Seeker's Mitts,Omens of the Third Age,normal,OMN207,0.02,low,,,,,,,0.08,trend
Settle the Bill,Omens of the Third Age,normal,OMN237,0.66,low,,,,,,,0.99,trend
Shattering Flowtide (Blue),Omens of the Third Age,normal,OMN026,0.02,low,,,,,,,0.11,trend
Shattering Flowtide (Red),Omens of the Third Age,normal,OMN024,0.02,low,,,,,,,0.1,trend
Shattering Flowtide (Yellow),Omens of the Third Age,normal,OMN025,0.02,low,,,,,,,0.02,trend
Sigil of Astral Flow,Omens of the Third Age,normal,OMN199,0.02,low,,,,,,,0.54,trend
Sigil of Lightning,Omens of the Third Age,normal,OMN200,0.02,low,,,,,,,0.12,trend
Singeing Flowstride (Blue),Omens of the Third Age,normal,OMN073,0.02,low,,,,,,,0.18,trend
Singeing Flowstride (Red),Omens of the Third Age,normal,OMN071,0.02,low,,,,,,,0.06,trend
Singeing Flowstride (Yellow),Omens of the Third Age,normal,OMN072,0.02,low,,,,,,,0.05,trend
Snap Fingers,Omens of the Third Age,normal,OMN050,0.02,low,,,,,,,0.03,trend
Spellbane Sigil,Omens of the Third Age,normal,OMN201,0.02,low,,,,,,,0.18,trend
Starfield Carapace,Omens of the Third Age,normal,,4.99,low,,,,,,,9.16,trend
Starfield Touch,Omens of the Third Age,normal,,8.5,low,,,,,,,10.98,trend
Starfield Veil,Omens of the Third Age,normal,,6.8,low,,,,,,,11.63,trend
Starflow Robes,Omens of the Third Age,normal,OMN143,0.02,low,,,,,,,0.28,trend
Starlight Road,Omens of the Third Age,normal,OMN189,0.02,low,,,,,,,0.18,trend
Starworld Warning,Omens of the Third Age,normal,OMN188,0.02,low,,,,,,,0.16,trend
Static Shelter,Omens of the Third Age,normal,OMN147,4,low,,,,,,,5.01,trend
Stellar Glide (Blue),Omens of the Third Age,normal,OMN177,0.02,low,,,,,,,0.05,trend
Stellar Glide (Red),Omens of the Third Age,normal,OMN175,0.02,low,,,,,,,0.04,trend
Stellar Glide (Yellow),Omens of the Third Age,normal,OMN176,0.02,low,,,,,,,0.05,trend
Step Between,Omens of the Third Age,normal,OMN214,8,low,,,,,,,8.95,trend
Stinging Sprite (Blue),Omens of the Third Age,normal,OMN058,0.02,low,,,,,,,0.06,trend
Stinging Sprite (Red),Omens of the Third Age,normal,OMN056,0.02,low,,,,,,,0.24,trend
Stinging Sprite (Yellow),Omens of the Third Age,normal,OMN057,0.02,low,,,,,,,0.03,trend
Stormshard,Omens of the Third Age,normal,OMN190,0.02,low,,,,,,,0.11,trend
Stormshatter,Omens of the Third Age,normal,OMN191,0.02,low,,,,,,,0.13,trend
Stormwhirl,Omens of the Third Age,normal,OMN192,0.02,low,,,,,,,0.03,trend
Stun Star,Omens of the Third Age,normal,OMN234,0.44,low,,,,,,,0.8,trend
Stunning Swipe (Blue),Omens of the Third Age,normal,OMN076,0.02,low,,,,,,,0.02,trend
Stunning Swipe (Red),Omens of the Third Age,normal,OMN074,0.02,low,,,,,,,0.07,trend
Stunning Swipe (Yellow),Omens of the Third Age,normal,OMN075,0.02,low,,,,,,,0.05,trend
Swift Pickup,Omens of the Third Age,normal,OMN231,0.45,low,,,,,,,1.15,trend
Tap Lessons Past (Blue),Omens of the Third Age,normal,OMN126,0.02,low,,,,,,,0.14,trend
Tap Lessons Past (Red),Omens of the Third Age,normal,OMN124,0.02,low,,,,,,,0.15,trend
Tap Lessons Past (Yellow),Omens of the Third Age,normal,OMN125,0.02,low,,,,,,,0.14,trend
Tempestuous Kiss,Omens of the Third Age,normal,OMN051,2.5,low,,,,,,,3.49,trend
Tempt Over,Omens of the Third Age,normal,OMN215,0.3,low,,,,,,,0.64,trend
Third Eye of the Sphinx,Omens of the Third Age,normal,,29.9,low,,,,,,,31.36,trend
Thunderous Retort (Blue),Omens of the Third Age,normal,OMN198,0.02,low,,,,,,,0.15,trend
Thunderous Retort (Red),Omens of the Third Age,normal,OMN196,0.02,low,,,,,,,0.16,trend
Thunderous Retort (Yellow),Omens of the Third Age,normal,OMN197,0.02,low,,,,,,,0.15,trend
Tome of Quandaries,Omens of the Third Age,normal,OMN133,1.5,low,,,,,,,2.48,trend
Turn to Mindfire,Omens of the Third Age,normal,OMN136,0.05,low,,,,,,,0.37,trend
Unmake the Underlings,Omens of the Third Age,normal,OMN228,0.9,low,,,,,,,2.46,trend
Unwinding Finality,Omens of the Third Age,normal,OMN004,2.2,low,,,,,,,3.26,trend
Visionary of Orbits,Omens of the Third Age,normal,OMN151,0.02,low,,,,,,,0.18,trend
Volatile Fluxor (Blue),Omens of the Third Age,normal,OMN180,0.02,low,,,,,,,0.19,trend
Volatile Fluxor (Red),Omens of the Third Age,normal,OMN178,0.02,low,,,,,,,0.09,trend
Volatile Fluxor (Yellow),Omens of the Third Age,normal,OMN179,0.02,low,,,,,,,0.08,trend
Voltaris,Omens of the Third Age,normal,,169.99,low,,,,,,,161.06,trend
Voltbound Duality (Blue),Omens of the Third Age,normal,OMN079,0.02,low,,,,,,,0.14,trend
Voltbound Duality (Red),Omens of the Third Age,normal,OMN077,0.02,low,,,,,,,0.2,trend
Voltbound Duality (Yellow),Omens of the Third Age,normal,OMN078,0.02,low,,,,,,,0.18,trend
Voltic Impact,Omens of the Third Age,normal,OMN154,0.02,low,,,,,,,0.17,trend
"Volzar, Meteor Storm",Omens of the Third Age,normal,OMN096,0.02,low,,,,,,,0.5,trend
Zyggy,Omens of the Third Age,normal,OMN002,0.02,low,,,,,,,0.28,trend
Zyggy Starlight,Omens of the Third Age,normal,OMN001,0.04,low,,,,,,,0.1,trend
Anticipating Gaze,Armory Deck Origins: Hala,normal,,7.95,low,,,,,,,,
Backside of the Blade,Armory Deck Origins: Hala,normal,,4,low,,,,,,,,
Brimming Blade,Armory Deck Origins: Hala,normal,,3,low,,,,,,,,
Deadly Display (Blue),Armory Deck Origins: Hala,normal,,,,,,,,,,,
Deadly Display (Red),Armory Deck Origins: Hala,normal,,,,,,,,,,,
Edict of Steel (Blue),Armory Deck Origins: Hala,normal,,1.3,low,,,,,,,,
Edict of Steel (Red),Armory Deck Origins: Hala,normal,,,,,,,,,,3,trend
Edict of Steel (Yellow),Armory Deck Origins: Hala,normal,,1.3,low,,,,,,,,
Flurry,Armory Deck Origins: Hala,normal,,10,low,,,,,,,,
Flurry Foot Dance,Armory Deck Origins: Hala,normal,,,,,,,,,,,
Gleam of the Blade,Armory Deck Origins: Hala,normal,,,,,,,,,,,
"Hala, Bladesaint of the Vow",Armory Deck Origins: Hala,normal,,9.99,low,,,,,,,,
Indefensibly Honed,Armory Deck Origins: Hala,normal,,1.98,low,,,,,,,,
Olé,Armory Deck Origins: Hala,normal,,,,,,,,,,,
Paragon Plate,Armory Deck Origins: Hala,normal,,14.85,low,,,,,,,10,trend
Polished Blade,Armory Deck Origins: Hala,normal,,1.95,low,,,,,,,,
Reverent Rerebrace,Armory Deck Origins: Hala,normal,,7.85,low,,,,,,,,
Sharp Incline (Red),Armory Deck Origins: Hala,normal,,,,,,,,,,,
Sharp Incline (Yellow),Armory Deck Origins: Hala,normal,,,,,,,,,,,
Shuck,Armory Deck Origins: Hala,normal,,,,,,,,,,,
Silverdrop Downpour,Armory Deck Origins: Hala,normal,,3,low,,,,,,,,
Silverstride Dodgers,Armory Deck Origins: Hala,normal,,7.95,low,,,,,,,,
Swordmaster's Path (Blue),Armory Deck Origins: Hala,normal,,,,,,,,,,,
Swordmaster's Path (Red),Armory Deck Origins: Hala,normal,,,,,,,,,,,
Toe the Line,Armory Deck Origins: Hala,normal,,1.25,low,,,,,,,,
Visit the Dawnsmith,Armory Deck Origins: Hala,normal,,4,low,,,,,,,,
Zenith Blade,Armory Deck Origins: Hala,normal,,9.99,low,,,,,,,,
Aetherstorm Wellingtons,Compendium of Rathe,normal,PEN110,0.04,low,,,,,,,0.32,trend
Aggressive Pounce (Blue),Compendium of Rathe,normal,PEN011,0.02,low,,,,,,,0.26,trend
Aggressive Pounce (Red),Compendium of Rathe,normal,PEN009,0.02,low,,,,,,,0.16,trend
Aggressive Pounce (Yellow),Compendium of Rathe,normal,PEN010,0.02,low,,,,,,,0.06,trend
Arc Bending,Compendium of Rathe,normal,PEN202,0.02,low,,,,,,,0.23,trend
Art of the Phoenix: War,Compendium of Rathe,normal,PEN254,0.75,low,,,,,,,2.11,trend
Assembly Module,Compendium of Rathe,normal,PEN067,0.02,low,,,,,,,0.37,trend
