# ratio: tcgplayer / cardmarket
# fx: 1 EUR = 1.143 USD (ECB 2026-07-10)
Name,Set,Finish,Code,NM,NM Basis,SP/LP,SP/LP Basis,MP,MP Basis,HP,HP Basis
Cosmic Suture (Red),Omens of the Third Age,normal,OMN127,+650.0%,listing/low,,,,,,
Cosmic Suture (Yellow),Omens of the Third Age,normal,OMN128,+650.0%,listing/low,,,,,,
Crackle from Afar,Omens of the Third Age,normal,OMN036,+600.0%,listing/low,,,,,,
Crash Site Salvage,Omens of the Third Age,normal,OMN239,+74.3%,listing/low,,,,,,
Dashing Flashfoot,Omens of the Third Age,normal,OMN053,+650.0%,listing/low,,,,,,
Destructive Fleetfoot (Blue),Omens of the Third Age,normal,OMN064,+600.0%,listing/low,,,,,,
Destructive Fleetfoot (Red),Omens of the Third Age,normal,OMN062,+600.0%,listing/low,,,,,,
Destructive Fleetfoot (Yellow),Omens of the Third Age,normal,OMN063,+400.0%,listing/low,,,,,,
Ebbing Arcstride (Blue),Omens of the Third Age,normal,OMN020,+400.0%,listing/low,,,,,,
Ebbing Arcstride (Red),Omens of the Third Age,normal,OMN018,+600.0%,listing/low,,,,,,
Ebbing Arcstride (Yellow),Omens of the Third Age,normal,OMN019,+600.0%,listing/low,,,,,,
Echoflash,Omens of the Third Age,normal,OMN099,+51.5%,listing/low,,,,,,
Electrolyze (Blue),Omens of the Third Age,normal,OMN165,+400.0%,listing/low,,,,,,
Electrolyze (Red),Omens of the Third Age,normal,OMN163,+600.0%,listing/low,,,,,,
Electrolyze (Yellow),Omens of the Third Age,normal,OMN164,+400.0%,listing/low,,,,,,
Electryn Joltstep (Blue),Omens of the Third Age,normal,OMN082,+600.0%,listing/low,,,,,,
Electryn Joltstep (Red),Omens of the Third Age,normal,OMN080,+600.0%,listing/low,,,,,,
Electryn Joltstep (Yellow),Omens of the Third Age,normal,OMN081,+600.0%,listing/low,,,,,,
Elliptical Conflux,Omens of the Third Age,normal,OMN034,+450.0%,listing/low,,,,,,
Embodiment of Lightning,Omens of the Third Age,normal,OMN202,+750.0%,listing/low,,,,,,
Enion Surge (Blue),Omens of the Third Age,normal,OMN114,+650.0%,listing/low,,,,,,
Enion Surge (Red),Omens of the Third Age,normal,OMN112,+600.0%,listing/low,,,,,,
Enion Surge (Yellow),Omens of the Third Age,normal,OMN113,+400.0%,listing/low,,,,,,
Erode Authority (Blue),Omens of the Third Age,normal,OMN046,+550.0%,listing/low,,,,,,
Erode Authority (Red),Omens of the Third Age,normal,OMN044,+500.0%,listing/low,,,,,,
Erode Authority (Yellow),Omens of the Third Age,normal,OMN045,+550.0%,listing/low,,,,,,
Feral Instinct,Omens of the Third Age,normal,OMN229,+25.8%,listing/low,,,,,,
Fingers of Fragmentation,Omens of the Third Age,normal,OMN039,+600.0%,listing/low,,,,,,
Flash Bolt (Blue),Omens of the Third Age,normal,OMN108,+550.0%,listing/low,,,,,,
Flash Bolt (Red),Omens of the Third Age,normal,OMN106,+650.0%,listing/low,,,,,,
Flash Bolt (Yellow),Omens of the Third Age,normal,OMN107,+350.0%,listing/low,,,,,,
Fleeing Starbreeze,Omens of the Third Age,normal,OMN037,+650.0%,listing/low,,,,,,
Flicker Reality,Omens of the Third Age,normal,OMN005,+16.1%,listing/low,,,,,,
Flittering Forcefield (Blue),Omens of the Third Age,normal,OMN183,+600.0%,listing/low,,,,,,
Flittering Forcefield (Red),Omens of the Third Age,normal,OMN181,+650.0%,listing/low,,,,,,
Flittering Forcefield (Yellow),Omens of the Third Age,normal,OMN182,+600.0%,listing/low,,,,,,
Flittering Spike (Blue),Omens of the Third Age,normal,OMN168,+600.0%,listing/low,,,,,,
Flittering Spike (Red),Omens of the Third Age,normal,OMN166,+600.0%,listing/low,,,,,,
Flittering Spike (Yellow),Omens of the Third Age,normal,OMN167,+350.0%,listing/low,,,,,,
Flowing Stormstrike,Omens of the Third Age,normal,OMN152,+400.0%,listing/low,,,,,,
Flowstate Embodiment,Omens of the Third Age,normal,OMN146,-35.3%,listing/low,,,,,,
Fractal Creation,Omens of the Third Age,normal,OMN040,+42.1%,listing/low,,,,,,
Fraying Lifeforce,Omens of the Third Age,normal,OMN007,+550.0%,listing/low,,,,,,
Gear Turner,Omens of the Third Age,normal,OMN235,-56.1%,listing/low,,,,,,
Glide Through Starlight (Blue),Omens of the Third Age,normal,OMN171,+600.0%,listing/low,,,,,,
Glide Through Starlight (Red),Omens of the Third Age,normal,OMN169,+450.0%,listing/low,,,,,,
Glide Through Starlight (Yellow),Omens of the Third Age,normal,OMN170,+600.0%,listing/low,,,,,,
Gloves of Astral Sanctuary,Omens of the Third Age,normal,OMN211,+400.0%,listing/low,,,,,,
Haven Veil (Blue),Omens of the Third Age,normal,OMN139,+600.0%,listing/low,,,,,,
Haven Veil (Red),Omens of the Third Age,normal,OMN137,+550.0%,listing/low,,,,,,
Haven Veil (Yellow),Omens of the Third Age,normal,OMN138,+550.0%,listing/low,,,,,,
Heaven's Claws (Blue),Omens of the Third Age,normal,OMN174,+400.0%,listing/low,,,,,,
Heaven's Claws (Red),Omens of the Third Age,normal,OMN172,+400.0%,listing/low,,,,,,
Heaven's Claws (Yellow),Omens of the Third Age,normal,OMN173,+650.0%,listing/low,,,,,,
Helm of Astral Sanctuary,Omens of the Third Age,normal,OMN209,+400.0%,listing/low,,,,,,
Holo Shield (Blue),Omens of the Third Age,normal,OMN032,+400.0%,listing/low,,,,,,
Holo Shield (Red),Omens of the Third Age,normal,OMN030,+450.0%,listing/low,,,,,,
Holo Shield (Yellow),Omens of the Third Age,normal,OMN031,+400.0%,listing/low,,,,,,
Laced Lightning,Omens of the Third Age,normal,OMN144,+600.0%,listing/low,,,,,,
Lightning Flow,Omens of the Third Age,normal,OMN203,+500.0%,listing/low,,,,,,
Lightning Overload (Blue),Omens of the Third Age,normal,OMN117,+600.0%,listing/low,,,,,,
Lightning Overload (Red),Omens of the Third Age,normal,OMN115,+650.0%,listing/low,,,,,,
Lightning Overload (Yellow),Omens of the Third Age,normal,OMN116,+400.0%,listing/low,,,,,,
Lionclaw Maul,Omens of the Third Age,normal,OMN247,+1033.3%,listing/low,,,,,,
Mercurial Skies (Blue),Omens of the Third Age,normal,OMN061,+600.0%,listing/low,,,,,,
Mercurial Skies (Red),Omens of the Third Age,normal,OMN059,+600.0%,listing/low,,,,,,
Mercurial Skies (Yellow),Omens of the Third Age,normal,OMN060,+550.0%,listing/low,,,,,,
Meteoric Impact (Blue),Omens of the Third Age,normal,OMN120,+650.0%,listing/low,,,,,,
Meteoric Impact (Red),Omens of the Third Age,normal,OMN118,+650.0%,listing/low,,,,,,
Meteoric Impact (Yellow),Omens of the Third Age,normal,OMN119,+650.0%,listing/low,,,,,,
Meteoric Rise,Omens of the Third Age,normal,OMN153,+550.0%,listing/low,,,,,,
Nebula Duality (Blue),Omens of the Third Age,normal,OMN123,+600.0%,listing/low,,,,,,
Nebula Duality (Red),Omens of the Third Age,normal,OMN121,+600.0%,listing/low,,,,,,
Omens of Arcana,Omens of the Third Age,normal,OMN227,+650.0%,listing/low,,,,,,
"Oscilio, Forked Continuum",Omens of the Third Age,normal,OMN094,+260.0%,listing/low,,,,,,
"Oscilio, Scion of the Third Age",Omens of the Third Age,normal,OMN095,+650.0%,listing/low,,,,,,
Path of Same Ends (Blue),Omens of the Third Age,normal,OMN067,+600.0%,listing/low,,,,,,
Path of Same Ends (Red),Omens of the Third Age,normal,OMN065,+600.0%,listing/low,,,,,,
Path of Same Ends (Yellow),Omens of the Third Age,normal,OMN066,+600.0%,listing/low,,,,,,
Pile Driver,Omens of the Third Age,normal,OMN230,+364.9%,listing/low,,,,,,
Polarus Pulse Ray (Blue),Omens of the Third Age,normal,OMN011,+600.0%,listing/low,,,,,,
Polarus Pulse Ray (Red),Omens of the Third Age,normal,OMN009,+550.0%,listing/low,,,,,,
Polarus Pulse Ray (Yellow),Omens of the Third Age,normal,OMN010,+550.0%,listing/low,,,,,,
Ponder,Omens of the Third Age,normal,OMN225,+650.0%,listing/low,,,,,,
Prophetic Quickstep,Omens of the Third Age,normal,OMN055,+400.0%,listing/low,,,,,,
Pulsing Cardia (Blue),Omens of the Third Age,normal,OMN023,+600.0%,listing/low,,,,,,
Pulsing Cardia (Red),Omens of the Third Age,normal,OMN021,+600.0%,listing/low,,,,,,
Pulsing Cardia (Yellow),Omens of the Third Age,normal,OMN022,+600.0%,listing/low,,,,,,
Quick Succession (Blue),Omens of the Third Age,normal,OMN085,+600.0%,listing/low,,,,,,
Quick Succession (Red),Omens of the Third Age,normal,OMN083,+650.0%,listing/low,,,,,,
Quick Succession (Yellow),Omens of the Third Age,normal,OMN084,+650.0%,listing/low,,,,,,
Rift Breaker (Blue),Omens of the Third Age,normal,OMN157,+366.7%,listing/low,,,,,,
Rift Breaker (Yellow),Omens of the Third Age,normal,OMN156,+600.0%,listing/low,,,,,,
Robe of Astral Sanctuary,Omens of the Third Age,normal,OMN210,+350.0%,listing/low,,,,,,
Rush of Power (Blue),Omens of the Third Age,normal,OMN070,+600.0%,listing/low,,,,,,
Rush of Power (Red),Omens of the Third Age,normal,OMN068,+600.0%,listing/low,,,,,,
Rush of Power (Yellow),Omens of the Third Age,normal,OMN069,+500.0%,listing/low,,,,,,
Scattering Conflux,Omens of the Third Age,normal,OMN008,+400.0%,listing/low,,,,,,
"Scorpio, Comet Tail",Omens of the Third Age,normal,OMN049,+850.0%,listing/low,,,,,,
Seeker's Gilet,Omens of the Third Age,normal,OMN206,+400.0%,listing/low,,,,,,
Seeker's Hood,Omens of the Third Age,normal,OMN205,+400.0%,listing/low,,,,,,
Seeker's Leggings,Omens of the Third Age,normal,OMN208,+400.0%,listing/low,,,,,,
Seeker's Mitts,Omens of the Third Age,normal,OMN207,+400.0%,listing/low,,,,,,
Shattering Flowtide (Blue),Omens of the Third Age,normal,OMN026,+500.0%,listing/low,,,,,,
Shattering Flowtide (Red),Omens of the Third Age,normal,OMN024,+600.0%,listing/low,,,,,,
Shattering Flowtide (Yellow),Omens of the Third Age,normal,OMN025,+600.0%,listing/low,,,,,,
Singeing Flowstride (Blue),Omens of the Third Age,normal,OMN073,+600.0%,listing/low,,,,,,
Singeing Flowstride (Red),Omens of the Third Age,normal,OMN071,+600.0%,listing/low,,,,,,
Singeing Flowstride (Yellow),Omens of the Third Age,normal,OMN072,+600.0%,listing/low,,,,,,
Snap Fingers,Omens of the Third Age,normal,OMN050,+600.0%,listing/low,,,,,,
Starflow Robes,Omens of the Third Age,normal,OMN143,+600.0%,listing/low,,,,,,
Static Shelter,Omens of the Third Age,normal,OMN147,-24.1%,listing/low,,,,,,
Stellar Glide (Blue),Omens of the Third Age,normal,OMN177,+350.0%,listing/low,,,,,,
Stellar Glide (Red),Omens of the Third Age,normal,OMN175,+600.0%,listing/low,,,,,,
Stellar Glide (Yellow),Omens of the Third Age,normal,OMN176,+600.0%,listing/low,,,,,,
Stinging Sprite (Blue),Omens of the Third Age,normal,OMN058,+600.0%,listing/low,,,,,,
Stinging Sprite (Red),Omens of the Third Age,normal,OMN056,+650.0%,listing/low,,,,,,
Stinging Sprite (Yellow),Omens of the Third Age,normal,OMN057,+500.0%,listing/low,,,,,,
Stunning Swipe (Blue),Omens of the Third Age,normal,OMN076,+600.0%,listing/low,,,,,,
Stunning Swipe (Red),Omens of the Third Age,normal,OMN074,+600.0%,listing/low,,,,,,
Stunning Swipe (Yellow),Omens of the Third Age,normal,OMN075,+600.0%,listing/low,,,,,,
Tap Lessons Past (Blue),Omens of the Third Age,normal,OMN126,+400.0%,listing/low,,,,,,
Tap Lessons Past (Red),Omens of the Third Age,normal,OMN124,+600.0%,listing/low,,,,,,
Tap Lessons Past (Yellow),Omens of the Third Age,normal,OMN125,+400.0%,listing/low,,,,,,
Tempestuous Kiss,Omens of the Third Age,normal,OMN051,-8.0%,listing/low,,,,,,
Thunderous Retort (Blue),Omens of the Third Age,normal,OMN198,+600.0%,listing/low,,,,,,
Thunderous Retort (Red),Omens of the Third Age,normal,OMN196,+600.0%,listing/low,,,,,,
Thunderous Retort (Yellow),Omens of the Third Age,normal,OMN197,+600.0%,listing/low,,,,,,
Tome of Quandaries,Omens of the Third Age,normal,OMN133,-41.5%,listing/low,,,,,,
Turn to Mindfire,Omens of the Third Age,normal,OMN136,+183.3%,listing/low,,,,,,
Unmake the Underlings,Omens of the Third Age,normal,OMN228,,,,,,,,
Unwinding Finality,Omens of the Third Age,normal,OMN004,-20.3%,listing/low,,,,,,
Volatile Fluxor (Blue),Omens of the Third Age,normal,OMN180,+600.0%,listing/low,,,,,,
Volatile Fluxor (Red),Omens of the Third Age,normal,OMN178,+500.0%,listing/low,,,,,,
Volatile Fluxor (Yellow),Omens of the Third Age,normal,OMN179,+600.0%,listing/low,,,,,,
Voltbound Duality (Blue),Omens of the Third Age,normal,OMN079,+600.0%,listing/low,,,,,,
Voltbound Duality (Red),Omens of the Third Age,normal,OMN077,+600.0%,listing/low,,,,,,
Voltbound Duality (Yellow),Omens of the Third Age,normal,OMN078,+600.0%,listing/low,,,,,,
Voltic Impact,Omens of the Third Age,normal,OMN154,+650.0%,listing/low,,,,,,
"Volzar, Meteor Storm",Omens of the Third Age,normal,OMN096,+3400.0%,listing/low,,,,,,
Zyggy,Omens of the Third Age,normal,OMN002,+900.0%,listing/low,,,,,,
Zyggy Starlight,Omens of the Third Age,normal,OMN001,+240.0%,listing/low,,,,,,
Edict of Steel (Blue),Armory Deck Origins: Hala,normal,,-36.2%,listing/low,,,,,,
Edict of Steel (Yellow),Armory Deck Origins: Hala,normal,,+33.6%,listing/low,,,,,,
Flurry,Armory Deck Origins: Hala,normal,,-82.6%,listing/low,,,,,,
Aetherstorm Wellingtons,Compendium of Rathe,normal,PEN110,+100.0%,listing/low,,,,,,
Aggressive Pounce (Blue),Compendium of Rathe,normal,PEN011,+150.0%,listing/low,,,,,,
Aggressive Pounce (Red),Compendium of Rathe,normal,PEN009,+400.0%,listing/low,,,,,,
Aggressive Pounce (Yellow),Compendium of Rathe,normal,PEN010,+150.0%,listing/low,,,,,,
Bad Breath (Blue),Compendium of Rathe,normal,PEN308,+150.0%,listing/low,,,,,,
Bad Breath (Red),Compendium of Rathe,normal,PEN306,+400.0%,listing/low,,,,,,
Bad Breath (Yellow),Compendium of Rathe,normal,PEN307,+150.0%,listing/low,,,,,,
Balance of Justice,Compendium of Rathe,normal,PEN309,-11.7%,listing/low,,,,,,
Basalt Boots,Compendium of Rathe,normal,PEN019,+400.0%,listing/low,,,,,,
Bear Hug (Blue),Compendium of Rathe,normal,PEN014,+400.0%,listing/low,,,,,,
Bear Hug (Red),Compendium of Rathe,normal,PEN012,+400.0%,listing/low,,,,,,
Bear Hug (Yellow),Compendium of Rathe,normal,PEN013,+400.0%,listing/low,,,,,,
Beckoning Haunt,Compendium of Rathe,normal,PEN095,+66.7%,listing/low,,,,,,
Become the Bottle (Blue),Compendium of Rathe,normal,PEN039,+100.0%,listing/low,,,,,,
Become the Bottle (Red),Compendium of Rathe,normal,PEN037,+400.0%,listing/low,,,,,,
Become the Bottle (Yellow),Compendium of Rathe,normal,PEN038,+150.0%,listing/low,,,,,,
Become the Cup (Blue),Compendium of Rathe,normal,PEN042,+150.0%,listing/low,,,,,,
Become the Cup (Red),Compendium of Rathe,normal,PEN040,+150.0%,listing/low,,,,,,
Become the Cup (Yellow),Compendium of Rathe,normal,PEN041,+150.0%,listing/low,,,,,,
Blackstone Greaves,Compendium of Rathe,normal,PEN096,+100.0%,listing/low,,,,,,
Bolt'n Boots,Compendium of Rathe,normal,PEN082,+200.0%,listing/low,,,,,,
Bone Puppetry,Compendium of Rathe,normal,PEN151,+19.2%,listing/low,,,,,,
Burnished Bunkerplate,Compendium of Rathe,normal,PEN316,+300.0%,listing/low,,,,,,
Buzzard Helm,Compendium of Rathe,normal,PEN002,+150.0%,listing/low,,,,,,
Carrion Crown,Compendium of Rathe,normal,PEN152,+100.0%,listing/low,,,,,,
Cloud Cover (Blue),Compendium of Rathe,normal,PEN248,+150.0%,listing/low,,,,,,
Cloud Cover (Red),Compendium of Rathe,normal,PEN246,+650.0%,listing/low,,,,,,
Cloud Cover (Yellow),Compendium of Rathe,normal,PEN247,+150.0%,listing/low,,,,,,
Colors of Aria,Compendium of Rathe,normal,PEN206,+163.6%,listing/low,,,,,,
Comeback Kicks,Compendium of Rathe,normal,PEN288,+180.0%,listing/low,,,,,,
Command and Conquer,Compendium of Rathe,normal,PEN319,+2.2%,listing/low,,,,,,
Concealed Nerve Gas,Compendium of Rathe,normal,PEN079,+400.0%,listing/low,,,,,,
Concealed Pathogen,Compendium of Rathe,normal,PEN080,+300.0%,listing/low,,,,,,
Concealed Sedative,Compendium of Rathe,normal,PEN081,+400.0%,listing/low,,,,,,
Concoct Disorder (Blue),Compendium of Rathe,normal,PEN281,+150.0%,listing/low,,,,,,
Concoct Disorder (Red),Compendium of Rathe,normal,PEN279,+150.0%,listing/low,,,,,,
Concoct Disorder (Yellow),Compendium of Rathe,normal,PEN280,+150.0%,listing/low,,,,,,
Conquer the Icy Terrain (Blue),Compendium of Rathe,normal,PEN233,+400.0%,listing/low,,,,,,
Conquer the Icy Terrain (Red),Compendium of Rathe,normal,PEN231,+400.0%,listing/low,,,,,,
Conquer the Icy Terrain (Yellow),Compendium of Rathe,normal,PEN232,,,,,,,,
Crown of Everbloom,Compendium of Rathe,normal,PEN215,+35.1%,listing/low,,,,,,
Crown of Frozen Thoughts,Compendium of Rathe,normal,PEN227,+78.3%,listing/low,,,,,,
Crown of Providence,Compendium of Rathe,normal,PEN310,-19.0%,listing/low,,,,,,
Cut n' Carve (Blue),Compendium of Rathe,normal,PEN056,+150.0%,listing/low,,,,,,
Cut n' Carve (Red),Compendium of Rathe,normal,PEN054,+400.0%,listing/low,,,,,,
Cut n' Carve (Yellow),Compendium of Rathe,normal,PEN055,+150.0%,listing/low,,,,,,
Depths of Despair (Blue),Compendium of Rathe,normal,PEN197,+150.0%,listing/low,,,,,,
Depths of Despair (Red),Compendium of Rathe,normal,PEN195,+150.0%,listing/low,,,,,,
Depths of Despair (Yellow),Compendium of Rathe,normal,PEN196,+150.0%,listing/low,,,,,,
Display of Craftsmanship (Blue),Compendium of Rathe,normal,PEN053,+400.0%,listing/low,,,,,,
Display of Craftsmanship (Red),Compendium of Rathe,normal,PEN051,,,,,,,,
Display of Craftsmanship (Yellow),Compendium of Rathe,normal,PEN052,+150.0%,listing/low,,,,,,
Distant Rumbling (Blue),Compendium of Rathe,normal,PEN025,+150.0%,listing/low,,,,,,
Distant Rumbling (Red),Compendium of Rathe,normal,PEN023,+150.0%,listing/low,,,,,,
Distant Rumbling (Yellow),Compendium of Rathe,normal,PEN024,+150.0%,listing/low,,,,,,
Double Cross Strap,Compendium of Rathe,normal,PEN031,+180.0%,listing/low,,,,,,
Drag Down (Blue),Compendium of Rathe,normal,PEN333,+150.0%,listing/low,,,,,,
Drag Down (Red),Compendium of Rathe,normal,PEN331,+400.0%,listing/low,,,,,,
Drag Down (Yellow),Compendium of Rathe,normal,PEN332,+150.0%,listing/low,,,,,,
Duty Bound Blitz (Blue),Compendium of Rathe,normal,PEN185,+150.0%,listing/low,,,,,,
Duty Bound Blitz (Red),Compendium of Rathe,normal,PEN183,+400.0%,listing/low,,,,,,
Duty Bound Blitz (Yellow),Compendium of Rathe,normal,PEN184,+300.0%,listing/low,,,,,,
Dyed Silk Sleeves,Compendium of Rathe,normal,PEN032,+400.0%,listing/low,,,,,,
Dynastic Diadem,Compendium of Rathe,normal,PEN252,-45.1%,listing/low,,,,,,
Elemental Strike,Compendium of Rathe,normal,PEN205,+9.7%,listing/low,,,,,,
Embraforged Gauntlet,Compendium of Rathe,normal,PEN192,+150.0%,listing/low,,,,,,
Enclosed Firemind,Compendium of Rathe,normal,PEN016,-40.0%,listing/low,,,,,,
Enflame the Firebrand,Compendium of Rathe,normal,PEN250,+10.0%,listing/low,,,,,,
Enlightened Strike,Compendium of Rathe,normal,PEN320,-8.8%,listing/low,,,,,,
Excessive Bloodloss (Blue),Compendium of Rathe,normal,PEN146,+550.0%,listing/low,,,,,,
Excessive Bloodloss (Red),Compendium of Rathe,normal,PEN144,+400.0%,listing/low,,,,,,
Excessive Bloodloss (Yellow),Compendium of Rathe,normal,PEN145,+400.0%,listing/low,,,,,,
Farflight Longbow,Compendium of Rathe,normal,,+800.0%,listing/low,,,,,,
Fasting Carcass (Blue),Compendium of Rathe,normal,PEN200,+150.0%,listing/low,,,,,,
Fasting Carcass (Red),Compendium of Rathe,normal,PEN198,+400.0%,listing/low,,,,,,
Fasting Carcass (Yellow),Compendium of Rathe,normal,PEN199,+150.0%,listing/low,,,,,,
Fire that Burns Within,Compendium of Rathe,normal,PEN255,+150.0%,listing/low,,,,,,
Frost Spike,Compendium of Rathe,normal,PEN226,+400.0%,listing/low,,,,,,
Frosthaven Sheath,Compendium of Rathe,normal,PEN207,+400.0%,listing/low,,,,,,
Future Sight (Blue),Compendium of Rathe,normal,PEN119,+150.0%,listing/low,,,,,,
Future Sight (Red),Compendium of Rathe,normal,PEN117,+150.0%,listing/low,,,,,,
Future Sight (Yellow),Compendium of Rathe,normal,PEN118,+150.0%,listing/low,,,,,,
Fyendal's Spring Tunic,Compendium of Rathe,normal,PEN311,-24.6%,listing/low,,,,,,
Gauntlets of Unity,Compendium of Rathe,normal,PEN046,+87.5%,listing/low,,,,,,
Ghost Protocol: Architect,Compendium of Rathe,normal,PEN062,+14.7%,listing/low,,,,,,
Ghost Protocol: Mainframe,Compendium of Rathe,normal,PEN063,+17.6%,listing/low,,,,,,
Glory Plate,Compendium of Rathe,normal,PEN287,+56.3%,listing/low,,,,,,
Gloves of Azure Waves,Compendium of Rathe,normal,PEN167,-42.2%,listing/low,,,,,,
Gloves of Erasure,Compendium of Rathe,normal,PEN109,+400.0%,listing/low,,,,,,
Graven Cowl,Compendium of Rathe,normal,PEN137,+200.0%,listing/low,,,,,,
Graven Gaslight,Compendium of Rathe,normal,PEN136,-47.4%,listing/low,,,,,,
Graven Gloves,Compendium of Rathe,normal,PEN139,+66.7%,listing/low,,,,,,
Graven Vestment,Compendium of Rathe,normal,PEN138,+400.0%,listing/low,,,,,,
Graven Walkers,Compendium of Rathe,normal,PEN140,+650.0%,listing/low,,,,,,
Grimoire of Fellingsong,Compendium of Rathe,normal,PEN092,+93.0%,listing/low,,,,,,
Havoc Wrap,Compendium of Rathe,normal,PEN275,-13.0%,listing/low,,,,,,
Heart Wrencher (Blue),Compendium of Rathe,normal,PEN077,+400.0%,listing/low,,,,,,
Heart Wrencher (Red),Compendium of Rathe,normal,PEN075,+400.0%,listing/low,,,,,,
