# ratio: cardmarket / tcgplayer
# fx: 1 EUR = 1.143 USD (ECB 2026-07-10)
Name,Set,Finish,Code,NM,NM Basis,SP/LP,SP/LP Basis,MP,MP Basis,HP,HP Basis
Electrolyze (Yellow),Omens of the Third Age,normal,OMN164,-80.0%,low/listing,,,,,,
Electryn Joltstep (Blue),Omens of the Third Age,normal,OMN082,-85.7%,low/listing,,,,,,
Electryn Joltstep (Red),Omens of the Third Age,normal,OMN080,-85.7%,low/listing,,,,,,
Electryn Joltstep (Yellow),Omens of the Third Age,normal,OMN081,-85.7%,low/listing,,,,,,
Elliptical Conflux,Omens of the Third Age,normal,OMN034,-81.8%,low/listing,,,,,,
Embodiment of Lightning,Omens of the Third Age,normal,OMN202,-88.2%,low/listing,,,,,,
Enion Surge (Blue),Omens of the Third Age,normal,OMN114,-86.7%,low/listing,,,,,,
Enion Surge (Red),Omens of the Third Age,normal,OMN112,-85.7%,low/listing,,,,,,
Enion Surge (Yellow),Omens of the Third Age,normal,OMN113,-80.0%,low/listing,,,,,,
Erode Authority (Blue),Omens of the Third Age,normal,OMN046,-84.6%,low/listing,,,,,,
Erode Authority (Red),Omens of the Third Age,normal,OMN044,-83.3%,low/listing,,,,,,
Erode Authority (Yellow),Omens of the Third Age,normal,OMN045,-84.6%,low/listing,,,,,,
Feral Instinct,Omens of the Third Age,normal,OMN229,-20.5%,low/listing,,,,,,
Fingers of Fragmentation,Omens of the Third Age,normal,OMN039,-85.7%,low/listing,,,,,,
Flash Bolt (Blue),Omens of the Third Age,normal,OMN108,-84.6%,low/listing,,,,,,
Flash Bolt (Red),Omens of the Third Age,normal,OMN106,-86.7%,low/listing,,,,,,
Flash Bolt (Yellow),Omens of the Third Age,normal,OMN107,-77.8%,low/listing,,,,,,
Fleeing Starbreeze,Omens of the Third Age,normal,OMN037,-86.7%,low/listing,,,,,,
Flicker Reality,Omens of the Third Age,normal,OMN005,-13.9%,low/listing,,,,,,
Flittering Forcefield (Blue),Omens of the Third Age,normal,OMN183,-85.7%,low/listing,,,,,,
Flittering Forcefield (Red),Omens of the Third Age,normal,OMN181,-86.7%,low/listing,,,,,,
Flittering Forcefield (Yellow),Omens of the Third Age,normal,OMN182,-85.7%,low/listing,,,,,,
Flittering Spike (Blue),Omens of the Third Age,normal,OMN168,-85.7%,low/listing,,,,,,
Flittering Spike (Red),Omens of the Third Age,normal,OMN166,-85.7%,low/listing,,,,,,
Flittering Spike (Yellow),Omens of the Third Age,normal,OMN167,-77.8%,low/listing,,,,,,
Flowing Stormstrike,Omens of the Third Age,normal,OMN152,-80.0%,low/listing,,,,,,
Flowstate Embodiment,Omens of the Third Age,normal,OMN146,+54.6%,low/listing,,,,,,
Fractal Creation,Omens of the Third Age,normal,OMN040,-29.6%,low/listing,,,,,,
Fraying Lifeforce,Omens of the Third Age,normal,OMN007,-84.6%,low/listing,,,,,,
Gear Turner,Omens of the Third Age,normal,OMN235,+127.6%,low/listing,,,,,,
Glide Through Starlight (Blue),Omens of the Third Age,normal,OMN171,-85.7%,low/listing,,,,,,
Glide Through Starlight (Red),Omens of the Third Age,normal,OMN169,-81.8%,low/listing,,,,,,
Glide Through Starlight (Yellow),Omens of the Third Age,normal,OMN170,-85.7%,low/listing,,,,,,
Gloves of Astral Sanctuary,Omens of the Third Age,normal,OMN211,-80.0%,low/listing,,,,,,
Haven Veil (Blue),Omens of the Third Age,normal,OMN139,-85.7%,low/listing,,,,,,
Haven Veil (Red),Omens of the Third Age,normal,OMN137,-84.6%,low/listing,,,,,,
Haven Veil (Yellow),Omens of the Third Age,normal,OMN138,-84.6%,low/listing,,,,,,
Heaven's Claws (Blue),Omens of the Third Age,normal,OMN174,-80.0%,low/listing,,,,,,
Heaven's Claws (Red),Omens of the Third Age,normal,OMN172,-80.0%,low/listing,,,,,,
Heaven's Claws (Yellow),Omens of the Third Age,normal,OMN173,-86.7%,low/listing,,,,,,
Helm of Astral Sanctuary,Omens of the Third Age,normal,OMN209,-80.0%,low/listing,,,,,,
Holo Shield (Blue),Omens of the Third Age,normal,OMN032,-80.0%,low/listing,,,,,,
Holo Shield (Red),Omens of the Third Age,normal,OMN030,-81.8%,low/listing,,,,,,
Holo Shield (Yellow),Omens of the Third Age,normal,OMN031,-80.0%,low/listing,,,,,,
Laced Lightning,Omens of the Third Age,normal,OMN144,-85.7%,low/listing,,,,,,
Lightning Flow,Omens of the Third Age,normal,OMN203,-83.3%,low/listing,,,,,,
Lightning Overload (Blue),Omens of the Third Age,normal,OMN117,-85.7%,low/listing,,,,,,
Lightning Overload (Red),Omens of the Third Age,normal,OMN115,-86.7%,low/listing,,,,,,
Lightning Overload (Yellow),Omens of the Third Age,normal,OMN116,-80.0%,low/listing,,,,,,
Lionclaw Maul,Omens of the Third Age,normal,OMN247,-91.2%,low/listing,,,,,,
Mercurial Skies (Blue),Omens of the Third Age,normal,OMN061,-85.7%,low/listing,,,,,,
Mercurial Skies (Red),Omens of the Third Age,normal,OMN059,-85.7%,low/listing,,,,,,
Mercurial Skies (Yellow),Omens of the Third Age,normal,OMN060,-84.6%,low/listing,,,,,,
Meteoric Impact (Blue),Omens of the Third Age,normal,OMN120,-86.7%,low/listing,,,,,,
Meteoric Impact (Red),Omens of the Third Age,normal,OMN118,-86.7%,low/listing,,,,,,
Meteoric Impact (Yellow),Omens of the Third Age,normal,OMN119,-86.7%,low/listing,,,,,,
Meteoric Rise,Omens of the Third Age,normal,OMN153,-84.6%,low/listing,,,,,,
Nebula Duality (Blue),Omens of the Third Age,normal,OMN123,-85.7%,low/listing,,,,,,
Nebula Duality (Red),Omens of the Third Age,normal,OMN121,-85.7%,low/listing,,,,,,
Omens of Arcana,Omens of the Third Age,normal,OMN227,-86.7%,low/listing,,,,,,
"Oscilio, Forked Continuum",Omens of the Third Age,normal,OMN094,-72.2%,low/listing,,,,,,
"Oscilio, Scion of the Third Age",Omens of the Third Age,normal,OMN095,-86.7%,low/listing,,,,,,
Path of Same Ends (Blue),Omens of the Third Age,normal,OMN067,-85.7%,low/listing,,,,,,
Path of Same Ends (Red),Omens of the Third Age,normal,OMN065,-85.7%,low/listing,,,,,,
Path of Same Ends (Yellow),Omens of the Third Age,normal,OMN066,-85.7%,low/listing,,,,,,
Pile Driver,Omens of the Third Age,normal,OMN230,-78.5%,low/listing,,,,,,
Polarus Pulse Ray (Blue),Omens of the Third Age,normal,OMN011,-85.7%,low/listing,,,,,,
Polarus Pulse Ray (Red),Omens of the Third Age,normal,OMN009,-84.6%,low/listing,,,,,,
Polarus Pulse Ray (Yellow),Omens of the Third Age,normal,OMN010,-84.6%,low/listing,,,,,,
Ponder,Omens of the Third Age,normal,OMN225,-86.7%,low/listing,,,,,,
Prophetic Quickstep,Omens of the Third Age,normal,OMN055,-80.0%,low/listing,,,,,,
Pulsing Cardia (Blue),Omens of the Third Age,normal,OMN023,-85.7%,low/listing,,,,,,
Pulsing Cardia (Red),Omens of the Third Age,normal,OMN021,-85.7%,low/listing,,,,,,
Pulsing Cardia (Yellow),Omens of the Third Age,normal,OMN022,-85.7%,low/listing,,,,,,
Quick Succession (Blue),Omens of the Third Age,normal,OMN085,-85.7%,low/listing,,,,,,
Quick Succession (Red),Omens of the Third Age,normal,OMN083,-86.7%,low/listing,,,,,,
Quick Succession (Yellow),Omens of the Third Age,normal,OMN084,-86.7%,low/listing,,,,,,
Rift Breaker (Blue),Omens of the Third Age,normal,OMN157,-78.6%,low/listing,,,,,,
Rift Breaker (Yellow),Omens of the Third Age,normal,OMN156,-85.7%,low/listing,,,,,,
Robe of Astral Sanctuary,Omens of the Third Age,normal,OMN210,-77.8%,low/listing,,,,,,
Rush of Power (Blue),Omens of the Third Age,normal,OMN070,-85.7%,low/listing,,,,,,
Rush of Power (Red),Omens of the Third Age,normal,OMN068,-85.7%,low/listing,,,,,,
Rush of Power (Yellow),Omens of the Third Age,normal,OMN069,-83.3%,low/listing,,,,,,
Scattering Conflux,Omens of the Third Age,normal,OMN008,-80.0%,low/listing,,,,,,
"Scorpio, Comet Tail",Omens of the Third Age,normal,OMN049,-89.5%,low/listing,,,,,,
Seeker's Gilet,Omens of the Third Age,normal,OMN206,-80.0%,low/listing,,,,,,
Seeker's Hood,Omens of the Third Age,normal,OMN205,-80.0%,low/listing,,,,,,
Seeker's Leggings,Omens of the Third Age,normal,OMN208,-80.0%,low/listing,,,,,,
Seeker's Mitts,Omens of the Third Age,normal,OMN207,-80.0%,low/listing,,,,,,
Shattering Flowtide (Blue),Omens of the Third Age,normal,OMN026,-83.3%,low/listing,,,,,,
Shattering Flowtide (Red),Omens of the Third Age,normal,OMN024,-85.7%,low/listing,,,,,,
Shattering Flowtide (Yellow),Omens of the Third Age,normal,OMN025,-85.7%,low/listing,,,,,,
Singeing Flowstride (Blue),Omens of the Third Age,normal,OMN073,-85.7%,low/listing,,,,,,
Singeing Flowstride (Red),Omens of the Third Age,normal,OMN071,-85.7%,low/listing,,,,,,
Singeing Flowstride (Yellow),Omens of the Third Age,normal,OMN072,-85.7%,low/listing,,,,,,
Snap Fingers,Omens of the Third Age,normal,OMN050,-85.7%,low/listing,,,,,,
Starflow Robes,Omens of the Third Age,normal,OMN143,-85.7%,low/listing,,,,,,
Static Shelter,Omens of the Third Age,normal,OMN147,+31.7%,low/listing,,,,,,
Stellar Glide (Blue),Omens of the Third Age,normal,OMN177,-77.8%,low/listing,,,,,,
Stellar Glide (Red),Omens of the Third Age,normal,OMN175,-85.7%,low/listing,,,,,,
Stellar Glide (Yellow),Omens of the Third Age,normal,OMN176,-85.7%,low/listing,,,,,,
Stinging Sprite (Blue),Omens of the Third Age,normal,OMN058,-85.7%,low/listing,,,,,,
Stinging Sprite (Red),Omens of the Third Age,normal,OMN056,-86.7%,low/listing,,,,,,
Stinging Sprite (Yellow),Omens of the Third Age,normal,OMN057,-83.3%,low/listing,,,,,,
Stunning Swipe (Blue),Omens of the Third Age,normal,OMN076,-85.7%,low/listing,,,,,,
Stunning Swipe (Red),Omens of the Third Age,normal,OMN074,-85.7%,low/listing,,,,,,
Stunning Swipe (Yellow),Omens of the Third Age,normal,OMN075,-85.7%,low/listing,,,,,,
Tap Lessons Past (Blue),Omens of the Third Age,normal,OMN126,-80.0%,low/listing,,,,,,
Tap Lessons Past (Red),Omens of the Third Age,normal,OMN124,-85.7%,low/listing,,,,,,
Tap Lessons Past (Yellow),Omens of the Third Age,normal,OMN125,-80.0%,low/listing,,,,,,
Tempestuous Kiss,Omens of the Third Age,normal,OMN051,+8.7%,low/listing,,,,,,
Thunderous Retort (Blue),Omens of the Third Age,normal,OMN198,-85.7%,low/listing,,,,,,
Thunderous Retort (Red),Omens of the Third Age,normal,OMN196,-85.7%,low/listing,,,,,,
Thunderous Retort (Yellow),Omens of the Third Age,normal,OMN197,-85.7%,low/listing,,,,,,
Tome of Quandaries,Omens of the Third Age,normal,OMN133,+71.0%,low/listing,,,,,,
Turn to Mindfire,Omens of the Third Age,normal,OMN136,-64.7%,low/listing,,,,,,
Unmake the Underlings,Omens of the Third Age,normal,OMN228,,,,,,,,
Unwinding Finality,Omens of the Third Age,normal,OMN004,+25.5%,low/listing,,,,,,
Volatile Fluxor (Blue),Omens of the Third Age,normal,OMN180,-85.7%,low/listing,,,,,,
Volatile Fluxor (Red),Omens of the Third Age,normal,OMN178,-83.3%,low/listing,,,,,,
Volatile Fluxor (Yellow),Omens of the Third Age,normal,OMN179,-85.7%,low/listing,,,,,,
Voltbound Duality (Blue),Omens of the Third Age,normal,OMN079,-85.7%,low/listing,,,,,,
Voltbound Duality (Red),Omens of the Third Age,normal,OMN077,-85.7%,low/listing,,,,,,
Voltbound Duality (Yellow),Omens of the Third Age,normal,OMN078,-85.7%,low/listing,,,,,,
Voltic Impact,Omens of the Third Age,normal,OMN154,-86.7%,low/listing,,,,,,
"Volzar, Meteor Storm",Omens of the Third Age,normal,OMN096,-97.1%,low/listing,,,,,,
Zyggy,Omens of the Third Age,normal,OMN002,-90.0%,low/listing,,,,,,
Zyggy Starlight,Omens of the Third Age,normal,OMN001,-70.6%,low/listing,,,,,,
Edict of Steel (Blue),Armory Deck Origins: Hala,normal,,+56.8%,low/listing,,,,,,
Edict of Steel (Yellow),Armory Deck Origins: Hala,normal,,-25.1%,low/listing,,,,,,
Flurry,Armory Deck Origins: Hala,normal,,+474.4%,low/listing,,,,,,
Aetherstorm Wellingtons,Compendium of Rathe,normal,PEN110,-50.0%,low/listing,,,,,,
Aggressive Pounce (Blue),Compendium of Rathe,normal,PEN011,-60.0%,low/listing,,,,,,
Aggressive Pounce (Red),Compendium of Rathe,normal,PEN009,-80.0%,low/listing,,,,,,
Aggressive Pounce (Yellow),Compendium of Rathe,normal,PEN010,-60.0%,low/listing,,,,,,
Bad Breath (Blue),Compendium of Rathe,normal,PEN308,-60.0%,low/listing,,,,,,
Bad Breath (Red),Compendium of Rathe,normal,PEN306,-80.0%,low/listing,,,,,,
Bad Breath (Yellow),Compendium of Rathe,normal,PEN307,-60.0%,low/listing,,,,,,
Balance of Justice,Compendium of Rathe,normal,PEN309,+13.2%,low/listing,,,,,,
Basalt Boots,Compendium of Rathe,normal,PEN019,-80.0%,low/listing,,,,,,
Bear Hug (Blue),Compendium of Rathe,normal,PEN014,-80.0%,low/listing,,,,,,
Bear Hug (Red),Compendium of Rathe,normal,PEN012,-80.0%,low/listing,,,,,,
Bear Hug (Yellow),Compendium of Rathe,normal,PEN013,-80.0%,low/listing,,,,,,
Beckoning Haunt,Compendium of Rathe,normal,PEN095,-40.0%,low/listing,,,,,,
Become the Bottle (Blue),Compendium of Rathe,normal,PEN039,-50.0%,low/listing,,,,,,
Become the Bottle (Red),Compendium of Rathe,normal,PEN037,-80.0%,low/listing,,,,,,
Become the Bottle (Yellow),Compendium of Rathe,normal,PEN038,-60.0%,low/listing,,,,,,
Become the Cup (Blue),Compendium of Rathe,normal,PEN042,-60.0%,low/listing,,,,,,
Become the Cup (Red),Compendium of Rathe,normal,PEN040,-60.0%,low/listing,,,,,,
Become the Cup (Yellow),Compendium of Rathe,normal,PEN041,-60.0%,low/listing,,,,,,
Blackstone Greaves,Compendium of Rathe,normal,PEN096,-50.0%,low/listing,,,,,,
Bolt'n Boots,Compendium of Rathe,normal,PEN082,-66.7%,low/listing,,,,,,
Bone Puppetry,Compendium of Rathe,normal,PEN151,-16.1%,low/listing,,,,,,
Burnished Bunkerplate,Compendium of Rathe,normal,PEN316,-75.0%,low/listing,,,,,,
Buzzard Helm,Compendium of Rathe,normal,PEN002,-60.0%,low/listing,,,,,,
Carrion Crown,Compendium of Rathe,normal,PEN152,-50.0%,low/listing,,,,,,
Cloud Cover (Blue),Compendium of Rathe,normal,PEN248,-60.0%,low/listing,,,,,,
Cloud Cover (Red),Compendium of Rathe,normal,PEN246,-86.7%,low/listing,,,,,,
Cloud Cover (Yellow),Compendium of Rathe,normal,PEN247,-60.0%,low/listing,,,,,,
Colors of Aria,Compendium of Rathe,normal,PEN206,-62.1%,low/listing,,,,,,
Comeback Kicks,Compendium of Rathe,normal,PEN288,-64.3%,low/listing,,,,,,
Command and Conquer,Compendium of Rathe,normal,PEN319,-2.2%,low/listing,,,,,,
Concealed Nerve Gas,Compendium of Rathe,normal,PEN079,-80.0%,low/listing,,,,,,
Concealed Pathogen,Compendium of Rathe,normal,PEN080,-75.0%,low/listing,,,,,,
Concealed Sedative,Compendium of Rathe,normal,PEN081,-80.0%,low/listing,,,,,,
Concoct Disorder (Blue),Compendium of Rathe,normal,PEN281,-60.0%,low/listing,,,,,,
Concoct Disorder (Red),Compendium of Rathe,normal,PEN279,-60.0%,low/listing,,,,,,
Concoct Disorder (Yellow),Compendium of Rathe,normal,PEN280,-60.0%,low/listing,,,,,,
Conquer the Icy Terrain (Blue),Compendium of Rathe,normal,PEN233,-80.0%,low/listing,,,,,,
Conquer the Icy Terrain (Red),Compendium of Rathe,normal,PEN231,-80.0%,low/listing,,,,,,
Conquer the Icy Terrain (Yellow),Compendium of Rathe,normal,PEN232,,,,,,,,
Crown of Everbloom,Compendium of Rathe,normal,PEN215,-26.0%,low/listing,,,,,,
Crown of Frozen Thoughts,Compendium of Rathe,normal,PEN227,-43.9%,low/listing,,,,,,
Crown of Providence,Compendium of Rathe,normal,PEN310,+23.4%,low/listing,,,,,,
Cut n' Carve (Blue),Compendium of Rathe,normal,PEN056,-60.0%,low/listing,,,,,,
Cut n' Carve (Red),Compendium of Rathe,normal,PEN054,-80.0%,low/listing,,,,,,
Cut n' Carve (Yellow),Compendium of Rathe,normal,PEN055,-60.0%,low/listing,,,,,,
Depths of Despair (Blue),Compendium of Rathe,normal,PEN197,-60.0%,low/listing,,,,,,
Depths of Despair (Red),Compendium of Rathe,normal,PEN195,-60.0%,low/listing,,,,,,
Depths of Despair (Yellow),Compendium of Rathe,normal,PEN196,-60.0%,low/listing,,,,,,
Display of Craftsmanship (Blue),Compendium of Rathe,normal,PEN053,-80.0%,low/listing,,,,,,
Display of Craftsmanship (Red),Compendium of Rathe,normal,PEN051,,,,,,,,
Display of Craftsmanship (Yellow),Compendium of Rathe,normal,PEN052,-60.0%,low/listing,,,,,,
Distant Rumbling (Blue),Compendium of Rathe,normal,PEN025,-60.0%,low/listing,,,,,,
Distant Rumbling (Red),Compendium of Rathe,normal,PEN023,-60.0%,low/listing,,,,,,
Distant Rumbling (Yellow),Compendium of Rathe,normal,PEN024,-60.0%,low/listing,,,,,,
Double Cross Strap,Compendium of Rathe,normal,PEN031,-64.3%,low/listing,,,,,,
Drag Down (Blue),Compendium of Rathe,normal,PEN333,-60.0%,low/listing,,,,,,
Drag Down (Red),Compendium of Rathe,normal,PEN331,-80.0%,low/listing,,,,,,
Drag Down (Yellow),Compendium of Rathe,normal,PEN332,-60.0%,low/listing,,,,,,
Duty Bound Blitz (Blue),Compendium of Rathe,normal,PEN185,-60.0%,low/listing,,,,,,
Duty Bound Blitz (Red),Compendium of Rathe,normal,PEN183,-80.0%,low/listing,,,,,,
Duty Bound Blitz (Yellow),Compendium of Rathe,normal,PEN184,-75.0%,low/listing,,,,,,
Dyed Silk Sleeves,Compendium of Rathe,normal,PEN032,-80.0%,low/listing,,,,,,
Dynastic Diadem,Compendium of Rathe,normal,PEN252,+82.0%,low/listing,,,,,,
Elemental Strike,Compendium of Rathe,normal,PEN205,-8.9%,low/listing,,,,,,
Embraforged Gauntlet,Compendium of Rathe,normal,PEN192,-60.0%,low/listing,,,,,,
Enclosed Firemind,Compendium of Rathe,normal,PEN016,+66.7%,low/listing,,,,,,
Enflame the Firebrand,Compendium of Rathe,normal,PEN250,-9.1%,low/listing,,,,,,
Enlightened Strike,Compendium of Rathe,normal,PEN320,+9.7%,low/listing,,,,,,
Excessive Bloodloss (Blue),Compendium of Rathe,normal,PEN146,-84.6%,low/listing,,,,,,
Excessive Bloodloss (Red),Compendium of Rathe,normal,PEN144,-80.0%,low/listing,,,,,,
Excessive Bloodloss (Yellow),Compendium of Rathe,normal,PEN145,-80.0%,low/listing,,,,,,
Farflight Longbow,Compendium of Rathe,normal,,-88.9%,low/listing,,,,,,
Fasting Carcass (Blue),Compendium of Rathe,normal,PEN200,-60.0%,low/listing,,,,,,
Fasting Carcass (Red),Compendium of Rathe,normal,PEN198,-80.0%,low/listing,,,,,,
Fasting Carcass (Yellow),Compendium of Rathe,normal,PEN199,-60.0%,low/listing,,,,,,
Fire that Burns Within,Compendium of Rathe,normal,PEN255,-60.0%,low/listing,,,,,,
Frost Spike,Compendium of Rathe,normal,PEN226,-80.0%,low/listing,,,,,,
Frosthaven Sheath,Compendium of Rathe,normal,PEN207,-80.0%,low/listing,,,,,,
Future Sight (Blue),Compendium of Rathe,normal,PEN119,-60.0%,low/listing,,,,,,
Future Sight (Red),Compendium of Rathe,normal,PEN117,-60.0%,low/listing,,,,,,
Future Sight (Yellow),Compendium of Rathe,normal,PEN118,-60.0%,low/listing,,,,,,
Fyendal's Spring Tunic,Compendium of Rathe,normal,PEN311,+32.7%,low/listing,,,,,,
Gauntlets of Unity,Compendium of Rathe,normal,PEN046,-46.7%,low/listing,,,,,,
Ghost Protocol: Architect,Compendium of Rathe,normal,PEN062,-12.8%,low/listing,,,,,,
Ghost Protocol: Mainframe,Compendium of Rathe,normal,PEN063,-15.0%,low/listing,,,,,,
Glory Plate,Compendium of Rathe,normal,PEN287,-36.0%,low/listing,,,,,,
Gloves of Azure Waves,Compendium of Rathe,normal,PEN167,+73.1%,low/listing,,,,,,
Gloves of Erasure,Compendium of Rathe,normal,PEN109,-80.0%,low/listing,,,,,,
Graven Cowl,Compendium of Rathe,normal,PEN137,-66.7%,low/listing,,,,,,
Graven Gaslight,Compendium of Rathe,normal,PEN136,+90.0%,low/listing,,,,,,
Graven Gloves,Compendium of Rathe,normal,PEN139,-40.0%,low/listing,,,,,,
Graven Vestment,Compendium of Rathe,normal,PEN138,-80.0%,low/listing,,,,,,
Graven Walkers,Compendium of Rathe,normal,PEN140,-86.7%,low/listing,,,,,,
Grimoire of Fellingsong,Compendium of Rathe,normal,PEN092,-48.2%,low/listing,,,,,,
Havoc Wrap,Compendium of Rathe,normal,PEN275,+15.0%,low/listing,,,,,,
Heart Wrencher (Blue),Compendium of Rathe,normal,PEN077,-80.0%,low/listing,,,,,,
Heart Wrencher (Red),Compendium of Rathe,normal,PEN075,-80.0%,low/listing,,,,,,
