# currency: USD
Name,Set,Finish,Code,NM,NM Source,SP/LP,SP/LP Source,MP,MP Source,HP,HP Source
Shattering Flowtide (Red),Gem Pack 5,normal,,4.51,listing,,,,,,
Shattering Flowtide (Red),Gem Pack 5,foil,,14.97,listing,,,,,,
Speed Demon (Red),Gem Pack 5,normal,,4.21,listing,,,,,,
Speed Demon (Red),Gem Pack 5,foil,,6.71,listing,10,listing,,,,
Stardust Spike (Red),Gem Pack 5,foil,,52.31,listing,,,,,,
Starlight Road (Blue),Gem Pack 5,normal,,3,listing,,,,,,
Starlight Road (Blue),Gem Pack 5,foil,,10.9,listing,,,,,,
Stinging Sprite (Red),Gem Pack 5,normal,,5.22,listing,9,listing,,,,
Stinging Sprite (Red),Gem Pack 5,foil,,8.5,listing,,,,,,
Teklo Pounder (Blue),Gem Pack 5,foil,,24.84,listing,,,,,,
Toe the Line (Red),Gem Pack 5,normal,,13.98,listing,,,,,,
Toe the Line (Red),Gem Pack 5,foil,,24.5,listing,,,,,,
Toughen Up (Blue),Gem Pack 5,normal,,3.99,listing,,,,,,
Toughen Up (Blue),Gem Pack 5,foil,,6.5,listing,,,,,,
"Volzar, Meteor Storm",Gem Pack 5,foil,,27.99,listing,35.76,listing,,,,
A Bit Off The Side (Red),Omens of the Third Age,normal,OMN243,1.96,listing,3.86,listing,,,,
A Bit Off The Side (Red) (Extended Art),Omens of the Third Age,foil,,24.85,listing,35,listing,,,,
Aethersling (Red),Omens of the Third Age,normal,OMN134,0.25,listing,0.55,listing,,,,
Aethersling (Red),Omens of the Third Age,foil,OMN134,1.63,listing,5.99,listing,,,,
Aphrodias,Omens of the Third Age,normal,OMN003,0.19,listing,,,,,,
Arc Ramp (Blue),Omens of the Third Age,normal,OMN102,0.15,listing,0.34,listing,,,,
Arc Ramp (Blue),Omens of the Third Age,foil,OMN102,0.15,listing,0.5,listing,,,,
Arc Ramp (Red),Omens of the Third Age,normal,OMN100,0.13,listing,0.12,listing,,,,
Arc Ramp (Red),Omens of the Third Age,foil,OMN100,0.25,listing,,,,,,
Arc Ramp (Yellow),Omens of the Third Age,normal,OMN101,0.1,listing,0.2,listing,,,,
Arc Ramp (Yellow),Omens of the Third Age,foil,OMN101,0.2,listing,0.47,listing,,,,
Arcanic Cunning (Blue),Omens of the Third Age,normal,OMN090,0.13,listing,0.12,listing,,,,
Arcanic Cunning (Blue),Omens of the Third Age,foil,OMN090,0.19,listing,0.25,listing,,,,
Arcanic Cunning (Red),Omens of the Third Age,normal,OMN088,0.15,listing,0.2,listing,,,,
Arcanic Cunning (Red),Omens of the Third Age,foil,OMN088,0.25,listing,1.1,listing,,,,
Arcanic Cunning (Yellow),Omens of the Third Age,normal,OMN089,0.14,listing,0.35,listing,,,,
Arcanic Cunning (Yellow),Omens of the Third Age,foil,OMN089,0.2,listing,0.47,listing,,,,
Arcanic Reproach,Omens of the Third Age,normal,OMN052,0.31,listing,1.21,listing,,,,
Arcanic Reproach,Omens of the Third Age,foil,OMN052,0.24,listing,19.95,listing,,,,
Arcbane Grasp (Blue),Omens of the Third Age,normal,OMN236,,,1.21,listing,,,,
Arcbane Grasp (Blue),Omens of the Third Age,foil,OMN236,13.28,listing,,,19.95,listing,,
Astral Assault (Blue),Omens of the Third Age,normal,OMN162,0.14,listing,0.2,listing,,,,
Astral Assault (Blue),Omens of the Third Age,foil,OMN162,0.15,listing,1,listing,,,,
Astral Assault (Red),Omens of the Third Age,normal,OMN160,0.11,listing,0.2,listing,,,,
Astral Assault (Red),Omens of the Third Age,foil,OMN160,0.19,listing,0.5,listing,,,,
Astral Assault (Yellow),Omens of the Third Age,normal,OMN161,0.14,listing,0.2,listing,,,,
Astral Assault (Yellow),Omens of the Third Age,foil,OMN161,0.22,listing,0.25,listing,,,,
Astral Bridge,Omens of the Third Age,normal,OMN098,3.47,listing,4.49,listing,,,,
Astral Bridge,Omens of the Third Age,foil,OMN098,30,listing,,,,,,
Astral Strike,Omens of the Third Age,normal,OMN145,1.22,listing,2.66,listing,,,,
Astral Strike,Omens of the Third Age,foil,OMN145,2.3,listing,2.62,listing,,,,
Auric Shards (Blue),Omens of the Third Age,normal,OMN029,0.11,listing,0.2,listing,,,,
Auric Shards (Blue),Omens of the Third Age,foil,OMN029,0.23,listing,3.97,listing,,,,
Auric Shards (Red),Omens of the Third Age,normal,OMN027,0.14,listing,0.34,listing,,,,
Auric Shards (Red),Omens of the Third Age,foil,OMN027,0.23,listing,3.98,listing,,,,
Auric Shards (Yellow),Omens of the Third Age,normal,OMN028,0.14,listing,0.25,listing,,,,
Auric Shards (Yellow),Omens of the Third Age,foil,OMN028,0.15,listing,0.25,listing,,,,
"Aurora, Emissary of Lightning",Omens of the Third Age,normal,OMN048,0.19,listing,0.39,listing,,,,
"Aurora, Emissary of Lightning (Marvel)",Omens of the Third Age,foil,,17.96,listing,17,listing,,,,
"Aurora, Legacy of Tempest",Omens of the Third Age,normal,OMN047,0.2,listing,0.47,listing,,,,
"Aurora, Legacy of Tempest (Marvel)",Omens of the Third Age,foil,,130.99,listing,,,,,,
"Baalghor, Omen of the End (Marvel)",Omens of the Third Age,foil,,1888.88,listing,,,,,,
Beckon Steel (Blue),Omens of the Third Age,normal,OMN238,5.99,listing,7.58,listing,,,,
Beckon Steel (Blue),Omens of the Third Age,foil,OMN238,9.82,listing,20.1,listing,,,,
Beckoning Brilliance,Omens of the Third Age,normal,OMN148,0.09,listing,0.35,listing,,,,
Beckoning Brilliance,Omens of the Third Age,foil,OMN148,0.21,listing,0.47,listing,,,,
Blessing Of Aegis (Yellow),Omens of the Third Age,normal,OMN244,0.33,listing,1.05,listing,,,,
Blessing Of Aegis (Yellow),Omens of the Third Age,foil,OMN244,40,listing,,,,,,
Blessing Of Aegis (Yellow) (Extended Art),Omens of the Third Age,foil,,23.99,listing,27.23,listing,,,,
Blink of an Eye,Omens of the Third Age,normal,OMN006,0.15,listing,0.35,listing,,,,
Blink of an Eye,Omens of the Third Age,foil,OMN006,0.33,listing,,,,,,
Boots Of Astral Sanctuary,Omens of the Third Age,normal,OMN212,0.1,listing,0.34,listing,,,,
Boots of Omnis Ward,Omens of the Third Age,foil,OMN204,35.45,listing,74.99,listing,,,,
Browbeat (Blue),Omens of the Third Age,normal,OMN213,0.53,listing,1.09,listing,,,,
Browbeat (Blue) (Extended Art),Omens of the Third Age,foil,,14.97,listing,13.9,listing,14.95,listing,,
Brush Off (Blue),Omens of the Third Age,normal,OMN224,0.1,listing,0.29,listing,,,,
Brush Off (Red),Omens of the Third Age,normal,OMN222,0.15,listing,0.34,listing,,,,
Brush Off (Yellow),Omens of the Third Age,normal,OMN223,0.1,listing,0.29,listing,,,,
Calmveil Of Volthaven (Blue),Omens of the Third Age,normal,OMN186,0.14,listing,0.2,listing,,,,
Calmveil Of Volthaven (Blue),Omens of the Third Age,foil,OMN186,0.19,listing,3.97,listing,,,,
Calmveil Of Volthaven (Red),Omens of the Third Age,normal,OMN184,0.11,listing,0.2,listing,,,,
Calmveil Of Volthaven (Red),Omens of the Third Age,foil,OMN184,0.19,listing,0.35,listing,,,,
Calmveil Of Volthaven (Yellow),Omens of the Third Age,normal,OMN185,0.1,listing,0.2,listing,,,,
Calmveil Of Volthaven (Yellow),Omens of the Third Age,foil,OMN185,0.22,listing,0.25,listing,,,,
Caress of the Reaper,Omens of the Third Age,normal,OMN087,0.41,listing,2.17,listing,,,,
Caress of the Reaper,Omens of the Third Age,foil,OMN087,25,listing,26.88,listing,,,,
Caress of the Reaper (Extended Art),Omens of the Third Age,foil,,27.39,listing,,,,,,
Chromatic Refinement (Blue),Omens of the Third Age,normal,OMN195,0.14,listing,0.25,listing,,,,
Chromatic Refinement (Blue),Omens of the Third Age,foil,OMN195,0.24,listing,0.35,listing,,,,
Chromatic Refinement (Red),Omens of the Third Age,normal,OMN193,0.15,listing,0.2,listing,,,,
Chromatic Refinement (Red),Omens of the Third Age,foil,OMN193,0.31,listing,0.5,listing,,,,
Chromatic Refinement (Yellow),Omens of the Third Age,normal,OMN194,0.14,listing,0.2,listing,,,,
Chromatic Refinement (Yellow),Omens of the Third Age,foil,OMN194,0.15,listing,0.47,listing,,,,
Circular Flowtide,Omens of the Third Age,normal,OMN033,0.13,listing,0.25,listing,,,,
Circular Flowtide,Omens of the Third Age,foil,OMN033,10,listing,9.92,listing,,,,
Circular Flowtide (Extended Art),Omens of the Third Age,foil,,9.47,listing,,,,,,
Clear Conscience (Blue),Omens of the Third Age,normal,OMN043,0.14,listing,0.13,listing,,,,
Clear Conscience (Blue),Omens of the Third Age,foil,OMN043,0.3,listing,0.05,listing,,,,
Clear Conscience (Red),Omens of the Third Age,normal,OMN041,0.14,listing,0.37,listing,,,,
Clear Conscience (Red),Omens of the Third Age,foil,OMN041,0.17,listing,0.5,listing,,,,
Clear Conscience (Yellow),Omens of the Third Age,normal,OMN042,0.14,listing,0.35,listing,,,,
Clear Conscience (Yellow),Omens of the Third Age,foil,OMN042,0.27,listing,0.47,listing,,,,
Comet Collision (Blue),Omens of the Third Age,normal,OMN111,0.1,listing,0.25,listing,,,,
Comet Collision (Blue),Omens of the Third Age,foil,OMN111,0.24,listing,4.37,listing,,,,
Comet Collision (Red),Omens of the Third Age,normal,OMN109,0.14,listing,0.34,listing,,,,
Comet Collision (Red),Omens of the Third Age,foil,OMN109,0.39,listing,0.5,listing,,,,
Comet Collision (Yellow),Omens of the Third Age,normal,OMN110,0.1,listing,0.2,listing,,,,
Comet Collision (Yellow),Omens of the Third Age,foil,OMN110,0.15,listing,0.25,listing,,,,
Conflicting Thoughts (Blue),Omens of the Third Age,normal,OMN221,0.14,listing,0.25,listing,,,,
Conflicting Thoughts (Blue),Omens of the Third Age,foil,OMN221,0.33,listing,0.5,listing,,,,
Conflicting Thoughts (Red),Omens of the Third Age,normal,OMN219,0.14,listing,0.2,listing,,,,
Conflicting Thoughts (Red),Omens of the Third Age,foil,OMN219,0.15,listing,2.25,listing,,,,
Conflicting Thoughts (Yellow),Omens of the Third Age,normal,OMN220,0.14,listing,0.34,listing,0.34,listing,,
Conflicting Thoughts (Yellow),Omens of the Third Age,foil,OMN220,0.23,listing,0.25,listing,,,,
Constella Contemplation (Yellow),Omens of the Third Age,normal,OMN130,0.15,listing,0.34,listing,,,,
Constella Contemplation (Yellow),Omens of the Third Age,foil,OMN130,0.25,listing,0.25,listing,,,,
Constella Flowslide (Yellow),Omens of the Third Age,normal,OMN131,0.13,listing,0.34,listing,,,,
Constella Flowslide (Yellow),Omens of the Third Age,foil,OMN131,0.19,listing,4.37,listing,,,,
Constella Tiara,Omens of the Third Age,normal,OMN142,0.14,listing,0.25,listing,,,,
Constella Tiara,Omens of the Third Age,foil,OMN142,4.72,listing,5.67,listing,3.95,listing,,
Constella Uplift (Yellow),Omens of the Third Age,normal,OMN132,0.14,listing,0.34,listing,,,,
Constella Uplift (Yellow),Omens of the Third Age,foil,OMN132,0.33,listing,4.93,listing,,,,
Constella Waves,Omens of the Third Age,normal,OMN097,0.14,listing,0.34,listing,,,,
Constella Waves,Omens of the Third Age,foil,OMN097,3.29,listing,4,listing,2.95,listing,,
Core Reaction (Blue),Omens of the Third Age,normal,OMN105,0.14,listing,0.12,listing,,,,
Core Reaction (Blue),Omens of the Third Age,foil,OMN105,0.25,listing,0.35,listing,,,,
Core Reaction (Red),Omens of the Third Age,normal,OMN103,0.15,listing,0.2,listing,,,,
Core Reaction (Red),Omens of the Third Age,foil,OMN103,0.41,listing,5.99,listing,,,,
Core Reaction (Yellow),Omens of the Third Age,normal,OMN104,0.13,listing,0.12,listing,,,,
Core Reaction (Yellow),Omens of the Third Age,foil,OMN104,0.25,listing,0.25,listing,,,,
Corrosive Space Dust (Blue),Omens of the Third Age,normal,OMN014,0.15,listing,0.38,listing,,,,
Corrosive Space Dust (Blue),Omens of the Third Age,foil,OMN014,0.25,listing,0.5,listing,,,,
Corrosive Space Dust (Red),Omens of the Third Age,normal,OMN012,0.15,listing,0.23,listing,,,,
Corrosive Space Dust (Red),Omens of the Third Age,foil,OMN012,0.25,listing,0.47,listing,,,,
Corrosive Space Dust (Yellow),Omens of the Third Age,normal,OMN013,0.13,listing,0.35,listing,,,,
Corrosive Space Dust (Yellow),Omens of the Third Age,foil,OMN013,0.25,listing,0.55,listing,,,,
Cosmic Duality (Blue),Omens of the Third Age,normal,OMN017,0.11,listing,0.29,listing,,,,
Cosmic Duality (Blue),Omens of the Third Age,foil,OMN017,0.15,listing,3.98,listing,,,,
Cosmic Duality (Red),Omens of the Third Age,normal,OMN015,0.14,listing,0.34,listing,,,,
Cosmic Duality (Red),Omens of the Third Age,foil,OMN015,0.2,listing,0.75,listing,,,,
Cosmic Duality (Yellow),Omens of the Third Age,normal,OMN016,0.14,listing,,,,,,
Cosmic Duality (Yellow),Omens of the Third Age,foil,OMN016,0.2,listing,0.25,listing,,,,
Cosmic Flare (Red),Omens of the Third Age,normal,OMN187,0.15,listing,0.33,listing,,,,
Cosmic Flare (Red),Omens of the Third Age,foil,OMN187,0.69,listing,1,listing,,,,
Cosmic Suture (Blue),Omens of the Third Age,normal,OMN129,0.15,listing,0.29,listing,,,,
Cosmic Suture (Blue),Omens of the Third Age,foil,OMN129,0.21,listing,0.35,listing,,,,
Cosmic Suture (Red),Omens of the Third Age,normal,OMN127,0.15,listing,0.2,listing,,,,
Cosmic Suture (Red),Omens of the Third Age,foil,OMN127,0.15,listing,0.47,listing,,,,
Cosmic Suture (Yellow),Omens of the Third Age,normal,OMN128,0.15,listing,0.2,listing,,,,
Cosmic Suture (Yellow),Omens of the Third Age,foil,OMN128,0.26,listing,0.47,listing,,,,
Cracked Bauble (Yellow),Omens of the Third Age,normal,OMN226,0.1,listing,0.15,listing,0.34,listing,,
Crackle From Afar,Omens of the Third Age,normal,OMN036,0.14,listing,0.34,listing,,,,
Crackle From Afar (Extended Art),Omens of the Third Age,foil,,29.99,listing,,,,,,
Crash Site Salvage,Omens of the Third Age,normal,OMN239,1.9,listing,2.7,listing,,,,
Crash Site Salvage (Extended Art),Omens of the Third Age,foil,,39.87,listing,36.99,listing,58.95,listing,,
Dashing Flashfoot,Omens of the Third Age,normal,OMN053,0.15,listing,0.38,listing,,,,
Dashing Flashfoot,Omens of the Third Age,foil,OMN053,0.3,listing,0.5,listing,,,,
Destructive Fleetfoot (Blue),Omens of the Third Age,normal,OMN064,0.14,listing,0.2,listing,,,,
Destructive Fleetfoot (Blue),Omens of the Third Age,foil,OMN064,0.15,listing,0.47,listing,,,,
Destructive Fleetfoot (Red),Omens of the Third Age,normal,OMN062,0.14,listing,0.34,listing,,,,
Destructive Fleetfoot (Red),Omens of the Third Age,foil,OMN062,0.25,listing,3.73,listing,,,,
Destructive Fleetfoot (Yellow),Omens of the Third Age,normal,OMN063,0.1,listing,0.2,listing,,,,
Destructive Fleetfoot (Yellow),Omens of the Third Age,foil,OMN063,0.23,listing,0.39,listing,,,,
Draco Fire (Red),Omens of the Third Age,normal,OMN245,6.18,listing,10.95,listing,,,,
Draco Fire (Red),Omens of the Third Age,foil,OMN245,18.08,listing,30.09,listing,,,,
Ebbing Arcstride (Blue),Omens of the Third Age,normal,OMN020,0.1,listing,,,,,,
Ebbing Arcstride (Blue),Omens of the Third Age,foil,OMN020,,,3.73,listing,,,,
Ebbing Arcstride (Red),Omens of the Third Age,normal,OMN018,0.14,listing,0.25,listing,,,,
Ebbing Arcstride (Red),Omens of the Third Age,foil,OMN018,0.25,listing,0.39,listing,,,,
Ebbing Arcstride (Yellow),Omens of the Third Age,normal,OMN019,0.14,listing,0.25,listing,,,,
Ebbing Arcstride (Yellow),Omens of the Third Age,foil,OMN019,0.15,listing,0.47,listing,,,,
Echoflash,Omens of the Third Age,normal,OMN099,3.47,listing,9.58,listing,,,,
Echoflash,Omens of the Third Age,foil,OMN099,6.35,listing,,,,,,
Electrolyze (Blue),Omens of the Third Age,normal,OMN165,0.1,listing,0.2,listing,,,,
Electrolyze (Blue),Omens of the Third Age,foil,OMN165,0.24,listing,0.25,listing,,,,
Electrolyze (Red),Omens of the Third Age,normal,OMN163,0.14,listing,0.2,listing,,,,
Electrolyze (Red),Omens of the Third Age,foil,OMN163,0.15,listing,2.25,listing,,,,
Electrolyze (Yellow),Omens of the Third Age,normal,OMN164,0.1,listing,0.2,listing,,,,
Electrolyze (Yellow),Omens of the Third Age,foil,OMN164,0.15,listing,0.25,listing,,,,
Electryn Joltstep (Blue),Omens of the Third Age,normal,OMN082,0.14,listing,0.29,listing,,,,
Electryn Joltstep (Blue),Omens of the Third Age,foil,OMN082,0.19,listing,3.73,listing,,,,
Electryn Joltstep (Red),Omens of the Third Age,normal,OMN080,0.14,listing,0.2,listing,,,,
Electryn Joltstep (Red),Omens of the Third Age,foil,OMN080,0.15,listing,0.25,listing,,,,
Electryn Joltstep (Yellow),Omens of the Third Age,normal,OMN081,0.14,listing,0.34,listing,,,,
Electryn Joltstep (Yellow),Omens of the Third Age,foil,OMN081,0.25,listing,0.41,listing,,,,
Electryn Mindmeld (Yellow),Omens of the Third Age,normal,OMN054,0.15,listing,0.2,listing,,,,
Electryn Mindmeld (Yellow),Omens of the Third Age,foil,OMN054,0.21,listing,5.99,listing,,,,
Elliptical Conflux,Omens of the Third Age,normal,OMN034,0.11,listing,0.34,listing,,,,
Elliptical Conflux,Omens of the Third Age,foil,OMN034,15,listing,,,,,,
Elliptical Conflux (Extended Art),Omens of the Third Age,foil,,20.98,listing,30,listing,,,,
Embodiment Of Lightning,Omens of the Third Age,normal,OMN202,0.17,listing,,,,,,
Enion Surge (Blue),Omens of the Third Age,normal,OMN114,0.15,listing,0.2,listing,,,,
Enion Surge (Blue),Omens of the Third Age,foil,OMN114,0.15,listing,1.33,listing,,,,
Enion Surge (Red),Omens of the Third Age,normal,OMN112,0.14,listing,0.2,listing,,,,
Enion Surge (Red),Omens of the Third Age,foil,OMN112,0.15,listing,0.47,listing,,,,
Enion Surge (Yellow),Omens of the Third Age,normal,OMN113,0.1,listing,0.2,listing,,,,
Enion Surge (Yellow),Omens of the Third Age,foil,OMN113,0.22,listing,3.73,listing,,,,
Erode Authority (Blue),Omens of the Third Age,normal,OMN046,0.13,listing,0.38,listing,,,,
Erode Authority (Blue),Omens of the Third Age,foil,OMN046,0.15,listing,,,,,,
Erode Authority (Red),Omens of the Third Age,normal,OMN044,0.12,listing,0.2,listing,,,,
Erode Authority (Red),Omens of the Third Age,foil,OMN044,0.19,listing,,,,,,
Erode Authority (Yellow),Omens of the Third Age,normal,OMN045,0.13,listing,0.39,listing,,,,
Erode Authority (Yellow),Omens of the Third Age,foil,OMN045,0.15,listing,0.25,listing,,,,
Evasive Nageboshi (Blue),Omens of the Third Age,normal,OMN232,0.85,listing,1.77,listing,,,,
Evasive Nageboshi (Blue),Omens of the Third Age,foil,OMN232,32.33,listing,,,25,listing,,
Feral Instinct,Omens of the Third Age,normal,OMN229,1.22,listing,1.79,listing,,,,
Feral Instinct (Extended Art),Omens of the Third Age,foil,,24.85,listing,28.5,listing,21.94,listing,,
Fingers Of Fragmentation,Omens of the Third Age,normal,OMN039,0.14,listing,0.25,listing,,,,
Fingers Of Fragmentation,Omens of the Third Age,foil,OMN039,3.51,listing,,,3.95,listing,,
Flash Bolt (Blue),Omens of the Third Age,normal,OMN108,0.13,listing,0.39,listing,,,,
Flash Bolt (Blue),Omens of the Third Age,foil,OMN108,0.21,listing,0.25,listing,,,,
Flash Bolt (Red),Omens of the Third Age,normal,OMN106,0.15,listing,0.39,listing,,,,
Flash Bolt (Red),Omens of the Third Age,foil,OMN106,0.49,listing,,,,,,
Flash Bolt (Yellow),Omens of the Third Age,normal,OMN107,0.09,listing,0.39,listing,,,,
Flash Bolt (Yellow),Omens of the Third Age,foil,OMN107,0.16,listing,5.99,listing,,,,
Fleeing Starbreeze,Omens of the Third Age,normal,OMN037,0.15,listing,0.25,listing,,,,
Fleeing Starbreeze,Omens of the Third Age,foil,OMN037,19.97,listing,26.75,listing,,,,
Fleeing Starbreeze (Extended Art),Omens of the Third Age,foil,,50,listing,50,listing,,,,
Flicker Reality,Omens of the Third Age,normal,OMN005,1.66,listing,1.88,listing,,,,
